Театральная | Театральная | x=1021.2215 | y=748.1172 | align=right | imp=2 | w=96.0000 | h=18.0000 | rect=925.2215,739.1172,1021.2215,757.1172 | zone=18.4746 | anchor=955.4463,777.4023 | ids=1/okhotnyy-ryad+2/teatralnaya+3/ploshchad-revolyutsii
Кузнецкий Мост | Кузнецкий⏎Мост | x=1014.2972 | y=658.9437 | align=right | imp=2 | w=78.8800 | h=37.9200 | rect=935.4172,639.9837,1014.2972,677.9037 | zone=63.1372 | anchor=983.7323,701.0126 | ids=1/lubyanka+7/kuznetskiy-most
Библиотека им. Ленина | Библиотека⏎им. Ленина | x=775.1898 | y=775.2313 | align=left | imp=2 | w=87.4400 | h=37.9200 | rect=775.1898,756.2713,862.6298,794.1913 | zone=123.6969 | anchor=865.9327,839.9526 | ids=1/biblioteka-im-lenina+3/arbatskaya+4/aleksandrovskiy-sad+9/borovitskaya
Арбатская | Арбатская | x=834.4368 | y=915.5363 | align=left | imp=2 | w=78.8800 | h=18.0000 | rect=834.4368,906.5363,913.3168,924.5363 | zone=123.6969 | anchor=865.9327,839.9526 | ids=1/biblioteka-im-lenina+3/arbatskaya+4/aleksandrovskiy-sad+9/borovitskaya
Александровский сад | Александровский сад | x=798.9950 | y=809.8056 | align=left | imp=2 | w=160.7200 | h=18.0000 | rect=798.9950,800.8056,959.7150,818.8056 | zone=123.6969 | anchor=865.9327,839.9526 | ids=1/biblioteka-im-lenina+3/arbatskaya+4/aleksandrovskiy-sad+9/borovitskaya
Тверская | Тверская | x=863.9367 | y=673.8384 | align=left | imp=2 | w=70.3200 | h=18.0000 | rect=863.9367,664.8384,934.2567,682.8384 | zone=126.6811 | anchor=857.9367,684.2307 | ids=2/tverskaya+7/pushkinskaya+9/chekhovskaya
Чеховская | Чеховская | x=857.9367 | y=732.2307 | align=right | imp=2 | w=78.8800 | h=18.0000 | rect=779.0567,723.2307,857.9367,741.2307 | zone=126.6811 | anchor=857.9367,684.2307 | ids=2/tverskaya+7/pushkinskaya+9/chekhovskaya
Новокузнецкая | Новокузнецкая | x=1044.8384 | y=843.1873 | align=left | imp=2 | w=113.1200 | h=18.0000 | rect=1044.8384,834.1873,1157.9584,852.1873 | zone=138.6119 | anchor=1046.5856,867.5915 | ids=2/novokuznetskaya+6/tretyakovskaya+8/tretyakovskaya
Цветной бульвар | Цветной⏎бульвар | x=838.9623 | y=603.4671 | align=left | imp=2 | w=61.7600 | h=37.9200 | rect=838.9623,584.5071,900.7223,622.4271 | zone=159.6614 | anchor=925.8423,603.4671 | ids=10/trubnaya+9/tsvetnoy-bulvar
Арбатская | Арбатская | x=759.6423 | y=868.8871 | align=left | imp=2 | w=78.8800 | h=18.0000 | rect=759.6423,859.8871,838.5223,877.8871 | zone=170.5691 | anchor=812.5823,845.5044 | ids=4/arbatskaya
